Class,Order,Family,Genus
Dothideomycetes,Botryosphaeriales,Endomelanconiopsisaceae,Endomelanconiopsis
Dothideomycetes,Botryosphaeriales,Melanopsaceae,Melanops
Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Leptoguignardia
Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta
Dothideomycetes,Botryosphaeriales,Planistromellaceae,Kellermania
Dothideomycetes,Botryosphaeriales,Planistromellaceae,Planistroma
Dothideomycetes,Botryosphaeriales,Planistromellaceae,Umthunziomyces
Dothideomycetes,Botryosphaeriales,Pseudofusicoccumaceae,Pseudofusicoccum
Dothideomycetes,Botryosphaeriales,Saccharataceae,Saccharata
Dothideomycetes,Botryosphaeriales,Saccharataceae,Neoseptorioides
Dothideomycetes,Botryosphaeriales,Septorioideaceae,Septorioides
Dothideomycetes,Capnodiales,Antennulariellaceae,Achaetobotrys
Dothideomycetes,Capnodiales,Antennulariellaceae,Antennulariella
Dothideomycetes,Capnodiales,Antennulariellaceae,Capnofrasera
Dothideomycetes,Capnodiales,Capnodiaceae,Capnodium
Dothideomycetes,Capnodiales,Capnodiaceae,Leptoxyphium
Dothideomycetes,Capnodiales,Capnodiaceae,Limaciniaseta
Dothideomycetes,Capnodiales,Capnodiaceae,Phragmocapnias
Dothideomycetes,Capnodiales,Capnodiaceae,Plurispermiopsis
Dothideomycetes,Capnodiales,Capnodiaceae,Scoriadopsis
Dothideomycetes,Capnodiales,Capnodiaceae,Scorias
Dothideomycetes,Capnodiales,Cladosporiaceae,Acroconidiella
Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium
Dothideomycetes,Capnodiales,Cladosporiaceae,Davidiellomyces
Dothideomycetes,Capnodiales,Cladosporiaceae,Graphiopsis
Dothideomycetes,Capnodiales,Cladosporiaceae,Hoornsmania
Dothideomycetes,Capnodiales,Cladosporiaceae,Rachicladosporium
Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium
Dothideomycetes,Capnodiales,Cladosporiaceae,Verrucocladosporium
Dothideomycetes,Capnodiales,Cystocoleaceae,Cystocoleus
Dothideomycetes,Capnodiales,Dissoconiaceae,Dissoconium
Dothideomycetes,Capnodiales,Dissoconiaceae,Pseudoveronaea
Dothideomycetes,Capnodiales,Dissoconiaceae,Ramichloridium
Dothideomycetes,Capnodiales,Dissoconiaceae,Uwebraunia
Dothideomycetes,Capnodiales,Euantennariaceae,Capnokyma
Dothideomycetes,Capnodiales,Euantennariaceae,Euantennaria
Dothideomycetes,Capnodiales,Euantennariaceae,Hormisciomyces
Dothideomycetes,Capnodiales,Euantennariaceae,Plokamidomyces
Dothideomycetes,Capnodiales,Euantennariaceae,Rasutoria
Dothideomycetes,Capnodiales,Euantennariaceae,Strigopodia
Dothideomycetes,Capnodiales,Euantennariaceae,Trichothallus
Dothideomycetes,Capnodiales,Extremaceae,Extremus
Dothideomycetes,Capnodiales,Extremaceae,Petrophila
Dothideomycetes,Capnodiales,Extremaceae,Pseudoramichloridium
Dothideomycetes,Capnodiales,Extremaceae,Saxophila
Dothideomycetes,Capnodiales,Extremaceae,Staninwardia
Dothideomycetes,Capnodiales,Extremaceae,Vermiconia
Dothideomycetes,Capnodiales,Metacapnodiaceae,Capnobotrys
Dothideomycetes,Capnodiales,Metacapnodiaceae,Hyphosoma
Dothideomycetes,Capnodiales,Metacapnodiaceae,Metacapnodium
Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia
Dothideomycetes,Capnodiales,Neodevriesiaceae,Tripospermum
Dothideomycetes,Capnodiales,Phaeothecoidiellaceae,Chaetothyrina
Dothideomycetes,Capnodiales,Phaeothecoidiellaceae,Exopassalora
Dothideomycetes,Capnodiales,Phaeothecoidiellaceae,Houjia
Dothideomycetes,Capnodiales,Phaeothecoidiellaceae,Phaeothecoidiella
Dothideomycetes,Capnodiales,Phaeothecoidiellaceae,Sporidesmajora
Dothideomycetes,Capnodiales,Piedraiaceae,Piedraia
Dothideomycetes,Capnodiales,Racodiaceae,Racodium
Dothideomycetes,Capnodiales,Schizothyriaceae,Amazonotheca
Dothideomycetes,Capnodiales,Schizothyriaceae,Hexagonella
Dothideomycetes,Capnodiales,Schizothyriaceae,Kerniomyces
Dothideomycetes,Capnodiales,Schizothyriaceae,Lecideopsella
Dothideomycetes,Capnodiales,Schizothyriaceae,Metathyriella
Dothideomycetes,Capnodiales,Schizothyriaceae,Mycerema
Dothideomycetes,Capnodiales,Schizothyriaceae,Myriangiella
Dothideomycetes,Capnodiales,Schizothyriaceae,Plochmopeltis
Dothideomycetes,Capnodiales,Schizothyriaceae,Schizothyrium
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acidiella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acidomyces
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Acrodontium
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Apenidiella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Aulographina
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Austroafricana
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Austrostigmidium
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Batcheloromyces
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Baudoinia
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Bryochiton
